HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
GHA,Ghana,HL70399,"F-R4, F-R6",,,,,GHA,,Ghana,urn:iso:std:iso:3166,,
GIB,Gibraltar,HL70399,"F-R4, F-R6",,,,,GIB,,Gibraltar,urn:iso:std:iso:3166,,
GRC,Greece,HL70399,"F-R4, F-R6",,,,,GRC,,Greece,urn:iso:std:iso:3166,,
GRL,Greenland,HL70399,"F-R4, F-R6",,,,,GRL,,Greenland,urn:iso:std:iso:3166,,
GRD,Grenada,HL70399,"F-R4, F-R6",,,,,GRD,,Grenada,urn:iso:std:iso:3166,,
GLP,Guadeloupe,HL70399,"F-R4, F-R6",,,,,GLP,,Guadeloupe,urn:iso:std:iso:3166,,
GUM,Guam,HL70399,"F-R4, F-R6",,,,,GUM,,Guam,urn:iso:std:iso:3166,,
GTM,Guatemala,HL70399,"F-R4, F-R6",,,,,GTM,,Guatemala,urn:iso:std:iso:3166,,
GGY,Guernsey,HL70399,"F-R4, F-R6",,,,,GGY,,Guernsey,urn:iso:std:iso:3166,,
GIN,Guinea,HL70399,"F-R4, F-R6",,,,,GIN,,Guinea,urn:iso:std:iso:3166,,
GNB,Guinea-Bissau,HL70399,"F-R4, F-R6",,,,,GNB,,Guinea-Bissau,urn:iso:std:iso:3166,,
GUY,Guyana,HL70399,"F-R4, F-R6",,,,,GUY,,Guyana,urn:iso:std:iso:3166,,
HTI,Haiti,HL70399,"F-R4, F-R6",,,,,HTI,,Haiti,urn:iso:std:iso:3166,,
HMD,Heard Island and McDonald Islands,HL70399,"F-R4, F-R6",,,,,HMD,,Heard Island and McDonald Islands,urn:iso:std:iso:3166,,
VAT,Holy See (the),HL70399,"F-R4, F-R6",,,,,VAT,,Holy See (the),urn:iso:std:iso:3166,,
HND,Honduras,HL70399,"F-R4, F-R6",,,,,HND,,Honduras,urn:iso:std:iso:3166,,
HKG,Hong Kong,HL70399,"F-R4, F-R6",,,,,HKG,,Hong Kong,urn:iso:std:iso:3166,,
HUN,Hungary,HL70399,"F-R4, F-R6",,,,,HUN,,Hungary,urn:iso:std:iso:3166,,
ISL,Iceland,HL70399,"F-R4, F-R6",,,,,ISL,,Iceland,urn:iso:std:iso:3166,,
