HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
COCCY,Coccyx,HL70550,"F-R4, F-R6",,,,,COCCY,,Coccyx,http://terminology.hl7.org/CodeSystem/v2-0550,,
COLON,Colon,HL70550,"F-R4, F-R6",,,,,COLON,,Colon,http://terminology.hl7.org/CodeSystem/v2-0550,,
COLOS,Colostomy,HL70550,"F-R4, F-R6",,,,,COLOS,,Colostomy,http://terminology.hl7.org/CodeSystem/v2-0550,,
COS,Colostomy Stoma,HL70550,"F-R4, F-R6",,,,,COS,,Colostomy Stoma,http://terminology.hl7.org/CodeSystem/v2-0550,,
CDUCT,Common Duct,HL70550,"F-R4, F-R6",,,,,CDUCT,,Common Duct,http://terminology.hl7.org/CodeSystem/v2-0550,,
CONJ,Conjunctiva,HL70550,"F-R4, F-R6",,,,,CONJ,,Conjunctiva,http://terminology.hl7.org/CodeSystem/v2-0550,,
CORAL,Coral,HL70550,"F-R4, F-R6",,,,,CORAL,,Coral,http://terminology.hl7.org/CodeSystem/v2-0550,,
COR,Cord,HL70550,"F-R4, F-R6",,,,,COR,,Cord,http://terminology.hl7.org/CodeSystem/v2-0550,,
CORD,Cord Blood,HL70550,"F-R4, F-R6",,,,,CORD,,Cord Blood,http://terminology.hl7.org/CodeSystem/v2-0550,,
CORN,Cornea,HL70550,"F-R4, F-R6",,,,,CORN,,Cornea,http://terminology.hl7.org/CodeSystem/v2-0550,,
CRANE,"Cranium, ethmoid",HL70550,"F-R4, F-R6",,,,,CRANE,,"Cranium, ethmoid",http://terminology.hl7.org/CodeSystem/v2-0550,,
CRANF,"Cranium, frontal",HL70550,"F-R4, F-R6",,,,,CRANF,,"Cranium, frontal",http://terminology.hl7.org/CodeSystem/v2-0550,,
CRANO,"Cranium, occipital",HL70550,"F-R4, F-R6",,,,,CRANO,,"Cranium, occipital",http://terminology.hl7.org/CodeSystem/v2-0550,,
CRANP,"Cranium, parietal",HL70550,"F-R4, F-R6",,,,,CRANP,,"Cranium, parietal",http://terminology.hl7.org/CodeSystem/v2-0550,,
CRANS,"Cranium, sphenoid",HL70550,"F-R4, F-R6",,,,,CRANS,,"Cranium, sphenoid",http://terminology.hl7.org/CodeSystem/v2-0550,,
CRANT,"Cranium, temporal",HL70550,"F-R4, F-R6",,,,,CRANT,,"Cranium, temporal",http://terminology.hl7.org/CodeSystem/v2-0550,,
CUBIT,Cubitus,HL70550,"F-R4, F-R6",,,,,CUBIT,,Cubitus,http://terminology.hl7.org/CodeSystem/v2-0550,,
CUFF,Cuff,HL70550,"F-R4, F-R6",,,,,CUFF,,Cuff,http://terminology.hl7.org/CodeSystem/v2-0550,,
