HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
PNT,Temporary Living Subject Number,HL70203,"F-R4, F-R6",,,,,PNT,,Temporary Living Subject Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
PPIN,Medicare/CMS Performing Provider Identification Number,HL70203,"F-R4, F-R6",,,,,PPIN,,Medicare/CMS Performing Provider Identification Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
PPN,Passport number,HL70203,"F-R4, F-R6",,,,,PPN,,Passport number,http://terminology.hl7.org/CodeSystem/v2-0203,,
PRC,Permanent Resident Card Number,HL70203,"F-R4, F-R6",,,,,PRC,,Permanent Resident Card Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
PRN,Provider number,HL70203,"F-R4, F-R6",,,,,PRN,,Provider number,http://terminology.hl7.org/CodeSystem/v2-0203,,
PT,Patient external identifier,HL70203,"F-R4, F-R6",,,,,PT,,Patient external identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
QA,QA number,HL70203,"F-R4, F-R6",,,,,QA,,QA number,http://terminology.hl7.org/CodeSystem/v2-0203,,
RI,Resource identifier,HL70203,"F-R4, F-R6",,,,,RI,,Resource identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
RPH,Pharmacist license number,HL70203,"F-R4, F-R6",,,,,RPH,,Pharmacist license number,http://terminology.hl7.org/CodeSystem/v2-0203,,
RN,Registered Nurse Number,HL70203,"F-R4, F-R6",,,,,RN,,Registered Nurse Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
RR,Railroad Retirement number,HL70203,"F-R4, F-R6",,,,,RR,,Railroad Retirement number,http://terminology.hl7.org/CodeSystem/v2-0203,,
RRI,Regional registry ID,HL70203,"F-R4, F-R6",,,,,RRI,,Regional registry ID,http://terminology.hl7.org/CodeSystem/v2-0203,,
RRP,Railroad Retirement Provider,HL70203,"F-R4, F-R6",,,,,RRP,,Railroad Retirement Provider,http://terminology.hl7.org/CodeSystem/v2-0203,,
SID,Specimen ID,HL70203,"F-R4, F-R6",,,,,SID,,Specimen ID,http://terminology.hl7.org/CodeSystem/v2-0203,,
SL,State license,HL70203,"F-R4, F-R6",,,,,SL,,State license,http://terminology.hl7.org/CodeSystem/v2-0203,,
SN,Subscriber Number,HL70203,"F-R4, F-R6",,,,,SN,,Subscriber Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
SP,Study Permit,HL70203,"F-R4, F-R6",,,,,SP,,Study Permit,http://terminology.hl7.org/CodeSystem/v2-0203,,
SR,State registry ID,HL70203,"F-R4, F-R6",,,,,SR,,State registry ID,http://terminology.hl7.org/CodeSystem/v2-0203,,
SS,Social Security number,HL70203,"F-R4, F-R6",,,,,SS,,Social Security number,http://terminology.hl7.org/CodeSystem/v2-0203,,
TAX,Tax ID number,HL70203,"F-R4, F-R6",,,,,TAX,,Tax ID number,http://terminology.hl7.org/CodeSystem/v2-0203,,
TN,Treaty Number/ (Canada),HL70203,"F-R4, F-R6",,,,,TN,,Treaty Number/ (Canada),http://terminology.hl7.org/CodeSystem/v2-0203,,
TPR,Temporary Permanent Resident (Canada),HL70203,"F-R4, F-R6",,,,,TPR,,Temporary Permanent Resident (Canada),http://terminology.hl7.org/CodeSystem/v2-0203,,
U,Unspecified identifier,HL70203,"F-R4, F-R6",,,,,U,,Unspecified identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
UPIN,Medicare/CMS (formerly HCFA)’s Universal Physician Identification numbers,HL70203,"F-R4, F-R6",,,,,UPIN,,Medicare/CMS (formerly HCFA)’s Universal Physician Identification numbers,http://terminology.hl7.org/CodeSystem/v2-0203,,
USID,Unique Specimen ID,HL70203,"F-R4, F-R6",,,,,USID,,Unique Specimen ID,http://terminology.hl7.org/CodeSystem/v2-0203,,
VN,Visit number,HL70203,"F-R4, F-R6",,,,,VN,,Visit number,http://terminology.hl7.org/CodeSystem/v2-0203,,
VP,Visitor Permit,HL70203,"F-R4, F-R6",,,,,VP,,Visitor Permit,http://terminology.hl7.org/CodeSystem/v2-0203,,
VS,VISA,HL70203,"F-R4, F-R6",,,,,VS,,VISA,http://terminology.hl7.org/CodeSystem/v2-0203,,
WC,WIC identifier,HL70203,"F-R4, F-R6",,,,,WC,,WIC identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
WCN,Workers’ Comp Number,HL70203,"F-R4, F-R6",,,,,WCN,,Workers’ Comp Number,http://terminology.hl7.org/CodeSystem/v2-0203,,
WP,Work Permit,HL70203,"F-R4, F-R6",,,,,WP,,Work Permit,http://terminology.hl7.org/CodeSystem/v2-0203,,
XX,Organization identifier,HL70203,"F-R4, F-R6",,,,,XX,,Organization identifier,http://terminology.hl7.org/CodeSystem/v2-0203,,
