HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
MFR_M05,M05,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFR_M06,M06,HL7-0354,"F-R4, F-R6",,,,,,,,,,
MFR_M07,M07,HL7-0354,"F-R4, F-R6",,,,,,,,,,
NMD_N02,N02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
NMQ_N01,N01,HL7-0354,"F-R4, F-R6",,,,,,,,,,
NMR_N01,N01,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OMB_O27,O27,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OMD_O03,O03,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OMG_O19,O19,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OMI_O23,O23,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OML_O21,O21,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OML_O33,O33,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OML_O35,O35,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OML_O39,O39,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OML_O59,Laboratory Fulfillment request with REL segment,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OMN_O07,O07,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OMP_O09,O09,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OMQ_O42,O42,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OMQ_O57,O57,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OMS_O05,O05,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OPL_O37,O37,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OPR_O38,O38,HL7-0354,"F-R4, F-R6",,,,,,,,,,
OPU_R25,R25,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORA_R33,R33,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORA_R41,R41,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORB_O28,O28,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORD_O04,O04,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORF_R04,R04,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ORG_O20,O20,HL7-0354,"F-R4, F-R6",,,,,,,,,,
