HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
DRN,Drain,HL70487,"F-R4, F-R6",,,,,DRN,,Drain,http://terminology.hl7.org/CodeSystem/v2-0487,,
DRNG,"Drainage, Tube",HL70487,"F-R4, F-R6",,,,,DRNG,,"Drainage, Tube",http://terminology.hl7.org/CodeSystem/v2-0487,,
DRNGP,"Drainage, Penrose",HL70487,"F-R4, F-R6",,,,,DRNGP,,"Drainage, Penrose",http://terminology.hl7.org/CodeSystem/v2-0487,,
DUFL,Duodenal fluid,HL70487,"F-R4, F-R6",,,,,DUFL,,Duodenal fluid,http://terminology.hl7.org/CodeSystem/v2-0487,,
EARW,Ear wax (cerumen),HL70487,"F-R4, F-R6",,,,,EARW,,Ear wax (cerumen),http://terminology.hl7.org/CodeSystem/v2-0487,,
EBRUSH,"Brush, Esophageal",HL70487,"F-R4, F-R6",,,,,EBRUSH,,"Brush, Esophageal",http://terminology.hl7.org/CodeSystem/v2-0487,,
EEYE,"Environmental, Eye Wash",HL70487,"F-R4, F-R6",,,,,EEYE,,"Environmental, Eye Wash",http://terminology.hl7.org/CodeSystem/v2-0487,,
EFF,"Environmental, Effluent",HL70487,"F-R4, F-R6",,,,,EFF,,"Environmental, Effluent",http://terminology.hl7.org/CodeSystem/v2-0487,,
EFFUS,Effusion,HL70487,"F-R4, F-R6",,,,,EFFUS,,Effusion,http://terminology.hl7.org/CodeSystem/v2-0487,,
EFOD,"Environmental, Food",HL70487,"F-R4, F-R6",,,,,EFOD,,"Environmental, Food",http://terminology.hl7.org/CodeSystem/v2-0487,,
EISO,"Environmental, Isolette",HL70487,"F-R4, F-R6",,,,,EISO,,"Environmental, Isolette",http://terminology.hl7.org/CodeSystem/v2-0487,,
ELT,Electrode,HL70487,"F-R4, F-R6",,,,,ELT,,Electrode,http://terminology.hl7.org/CodeSystem/v2-0487,,
ENVIR,"Environmental, Unidentified Substance",HL70487,"F-R4, F-R6",,,,,ENVIR,,"Environmental, Unidentified Substance",http://terminology.hl7.org/CodeSystem/v2-0487,,
EOS,Eosinophils,HL70487,"F-R4, F-R6",,,,,EOS,,Eosinophils,http://terminology.hl7.org/CodeSystem/v2-0487,,
EOTH,"Environmental, Other Substance",HL70487,"F-R4, F-R6",,,,,EOTH,,"Environmental, Other Substance",http://terminology.hl7.org/CodeSystem/v2-0487,,
ESOI,"Environmental, Soil",HL70487,"F-R4, F-R6",,,,,ESOI,,"Environmental, Soil",http://terminology.hl7.org/CodeSystem/v2-0487,,
ESOS,"Environmental, Solution (Sterile)",HL70487,"F-R4, F-R6",,,,,ESOS,,"Environmental, Solution (Sterile)",http://terminology.hl7.org/CodeSystem/v2-0487,,
ETA,"Aspirate,  Endotrach",HL70487,"F-R4, F-R6",,,,,ETA,,"Aspirate,  Endotrach",http://terminology.hl7.org/CodeSystem/v2-0487,,
ETTP,"Catheter Tip, Endotracheal",HL70487,"F-R4, F-R6",,,,,ETTP,,"Catheter Tip, Endotracheal",http://terminology.hl7.org/CodeSystem/v2-0487,,
