HL7 v2,,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
CNF,Confucian,HL70006,,,,1014,,Confucianism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
DOC,Disciples of Christ,HL70006,,,,1067,,Disciples of Christ,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
ERL,Ethnic Religionist,HL70006,,,,,,,,,
HIN,Hindu,HL70006,,,,,,,,,
HSH,Hindu: Shaivites,HL70006,,,,1020,,Hinduism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
HVA,Hindu: Vaishnavites,HL70006,,,,1020,,Hinduism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
HOT,Hindu: Other,HL70006,,,,1020,,Hinduism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
JAI,Jain,HL70006,,,,1024,,Jainism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
JEW,Jewish,HL70006,,,,,,,,,
JCO,Jewish: Conservative,HL70006,,,,,,,,,
JOR,Jewish: Orthodox,HL70006,,,,,,,,,
JRC,Jewish: Reconstructionist,HL70006,,,,,,,,,
JRF,Jewish: Reform,HL70006,,,,,,,,,
JRN,Jewish: Renewal,HL70006,,,,,,,,,
JOT,Jewish: Other,HL70006,,,,,,,,,
MOS,Muslim,HL70006,,,,1023,,Islam,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
MSH,Muslim: Shiite,HL70006,,,,1045,,Shiite (Islam),http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
MSU,Muslim: Sunni,HL70006,,,,1049,,Sunni (Islam),http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
MOT,Muslim: Other,HL70006,,,,,,,,,
NAM,Native American,HL70006,,,,1074,,Native American,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
NRL,New Religionist,HL70006,,,,,,,,,
NOE,Nonreligious,HL70006,,,,,,,,,
SHN,Shintoist,HL70006,,,,1046,,Shinto,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
SIK,Sikh,HL70006,,,,1047,,Sikism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
SPI,Spiritist,HL70006,,,,1048,,Spiritualism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
OTH,Other,HL70006,,,,,,,,,
VAR,Unknown,HL70006,,,,,,,,,
,,,,,,1002,,African Religions,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1003,,Afro-Caribbean Religions,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1006,,Animism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1010,,Bon,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1011,,Cao Dai,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1012,,Celticism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1015,,Cyberculture Religions,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1016,,Divination,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1017,,Fourth Way,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1018,,Free Daism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1019,,Gnosis,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1021,,Humanism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1022,,Independent,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1030,,Meditation,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1031,,Messianic Judaism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1032,,Mitraism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1033,,New Age,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1035,,Occult,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1037,,Paganism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1039,,"Process, The",http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1042,,Satanism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1043,,Scientology,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1044,,Shamanism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1050,,Taoism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1053,,Universal Life Church,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1054,,Vajrayana (Tibetan),http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1055,,Veda,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1056,,Voodoo,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1057,,Wicca,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1058,,Yaohushua,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,,,,,,
,,,,,,1060,,Zoroastrianism,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1070,,Evangelical Covenant,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
,,,,,,1040,,Reformed/Presbyterian,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,,
